v_g,i_ds,r
12.77777,0.000595167,504.0602049508793
12.965,0.0005927548,506.1114646393416
12.87663,0.0005945534,504.58041279387186
13.06376,0.0005919953,506.760780026463
13.11481,0.0005917973,506.93032901637093
13.0318,0.0005934468,505.5213036787796
13.22148,0.0005908501,507.7429960661765
13.1335,0.0005926006,506.24315938930874
13.32013,0.0005901515,508.3440438599241
13.23251,0.0005918609,506.8758554586052
13.41773,0.0005893548,509.03123212027793
13.46553,0.0005892682,509.1060403395262
13.52015,0.0005889213,509.4059257153715
13.43368,0.0005904255,508.10813557341277
13.61914,0.0005880498,510.1608741300481
13.66915,0.0005877588,510.4134553153436
13.58264,0.0005893201,509.0612045983159
13.76706,0.0005870645,511.0171028907385
13.68491,0.0005887626,509.5432352530544
13.86859,0.0005862266,511.7475051456211
13.91769,0.0005858851,512.045791913807
13.96949,0.0005856446,512.2560679292527
14.01687,0.0005854012,512.4690554102041
14.06794,0.0005850931,512.7389128328466
14.11981,0.0005847314,513.0560801078922
14.03402,0.0005865009,511.508166483632
14.22098,0.0005840534,513.6516626733104
14.13325,0.0005858159,512.1062777572271
14.31732,0.0005833651,514.2577092801746
14.36643,0.0005831518,514.4458098217308
14.28483,0.0005848643,512.9394972474811
14.46944,0.0005823379,515.1648209742144
14.51722,0.000582056,515.4143243949036
14.43324,0.0005836638,513.9945290422329
14.61727,0.0005812607,516.1195312189521
14.66675,0.0005810306,516.3239251082473
14.5849,0.0005826675,514.8734055014223
14.76987,0.0005803425,516.9361196190181
14.68393,0.0005819271,515.528491455373
14.86583,0.0005795502,517.6428202423189
14.91489,0.0005793081,517.8591495613474
14.96747,0.0005789355,518.1924411268612
15.01978,0.0005786018,518.4913009257834
14.93413,0.0005804643,516.8276498658056
15.11736,0.0005780554,518.981398668709
15.17522,0.0005776261,519.3671130857833
15.22401,0.0005773488,519.6165645446911
15.13852,0.0005790585,518.0823699159929
15.32386,0.0005766299,520.264384486479
15.37327,0.0005763769,520.4927539601258
15.28727,0.0005780619,518.9755629976651
15.47638,0.0005755424,521.2474354626175
15.52521,0.0005754579,521.3239752204288
15.43891,0.0005771202,519.8223870867802
15.62466,0.0005746392,522.0667159497647
15.53788,0.0005765167,520.3665392520286
15.72405,0.0005740671,522.5869937503821
15.63975,0.0005757035,521.1015739873043
15.82572,0.0005732557,523.3266760365401
15.87411,0.0005730035,523.5570114318673
15.78819,0.0005746867,522.0235651877797
15.97417,0.0005724244,524.0866741529536
16.02285,0.0005722157,524.2778204093316
16.07567,0.0005718727,524.5922737700191
16.12581,0.0005716941,524.7561589318483
16.17364,0.0005713371,525.0840528297567
16.22575,0.0005709754,525.4166816994217
16.27239,0.0005709516,525.438583585719
16.32434,0.000570555,525.8038225937902
16.37244,0.0005703584,525.9850648294125
16.28964,0.0005720645,524.4163901098565
16.47797,0.0005695139,526.7650183779535
16.38858,0.000571302,525.1163132633878
16.57728,0.0005688646,527.3662660675317
16.48701,0.0005705757,525.784746879336
16.6749,0.0005681973,527.9856134480048
16.72613,0.0005679544,528.2114197900395
16.63891,0.0005696798,526.6116158585928
16.82704,0.0005670851,529.0211292802438
16.73769,0.0005689301,527.3055512443444
16.92594,0.0005665281,529.5412531170122
16.97214,0.0005662058,529.8426826429542
17.02875,0.0005659198,530.1104502793505
16.9393,0.0005678586,528.3005311533541
17.12526,0.0005653143,530.6782439432365
17.18131,0.0005651006,530.8789266902212
17.22828,0.0005647482,531.2101924362044
17.27906,0.000564498,531.4456384256455
17.33072,0.0005641909,531.7349145475406
17.24276,0.0005661148,529.9278520893641
17.42888,0.0005635594,532.3307534219108
17.34444,0.0005652755,530.7146692188145
17.5307,0.0005628447,533.0067068233919
17.57934,0.0005627366,533.1090958007708
17.49303,0.0005645144,531.4301991233527
17.67912,0.0005619906,533.8167577891871
17.7284,0.0005617902,534.007179192517
17.78128,0.0005615189,534.2651867995895
17.69425,0.0005633729,532.5069771726684
17.87681,0.0005607899,534.9597059433488
17.79315,0.0005625573,533.2790099781836
17.97924,0.0005600487,535.6677017552224
18.02849,0.0005598834,535.8258523113919
18.07989,0.0005594692,536.2225480866507
18.13223,0.0005593194,536.3661621606545
18.17809,0.0005591548,536.5240538040628
18.23104,0.0005588921,536.7762399933725
18.27754,0.0005586977,536.9630123768185
18.32872,0.0005583411,537.3059586693511
18.37889,0.0005580464,537.5897058022415
18.43003,0.0005579353,537.6967544444669
18.34349,0.0005596523,536.0471135381736
18.52925,0.0005572271,538.3801326245618
18.44238,0.0005589908,536.6814623782716
18.62771,0.0005567012,538.8887252263871
18.54467,0.0005582992,537.3462831399364
18.73005,0.0005558676,539.696863065953
18.77805,0.0005556428,539.9152117151522
18.82891,0.0005554452,540.1072869114721
18.74302,0.0005572611,538.3472846032138
18.92772,0.0005548369,540.6994379789808
18.97979,0.0005545497,540.9794649604895
19.03093,0.0005543574,541.1671243136648
19.08027,0.0005541143,541.4045441527136
19.12818,0.0005538379,541.6747391249316
19.04921,0.0005556571,539.9013168373084
19.23463,0.0005532138,542.2858215033681
19.14834,0.0005549514,540.5878785061178
19.33407,0.0005523799,543.1044829835408
19.24722,0.0005541893,541.3312743497575
19.4348,0.0005516597,543.813514019603
19.48483,0.000551453,544.0173505266994
19.53277,0.0005511864,544.2804829727294
19.58311,0.0005510608,544.4045375755271
19.49796,0.0005528268,542.6654424134285
19.68389,0.0005504055,545.0526929690928
19.73578,0.0005502664,545.190475013557
19.64969,0.0005520576,543.4215560115466
19.83565,0.0005494721,545.9785856279145
19.8849,0.0005492957,546.1539203747635
19.79818,0.0005511894,544.2775205764116
19.98558,0.000548632,546.8146225520932
19.90002,0.0005503431,545.114493122563
20.08575,0.0005479633,547.481920778271
20.13314,0.0005477199,547.7252150232263
19.94939,0.0005511949,544.2720896002485
20.03671,0.0005500117,545.4429423955891
19.98337,0.0005513026,544.1657630491857
19.93131,0.0005526653,542.8240202524023
19.88426,0.0005537248,541.785377862794
19.83191,0.0005548472,540.6894006133581
19.78495,0.000555969,539.5984308477631
19.60035,0.0005589899,536.6823264606392
19.6837,0.000557978,537.6556064934459
19.63457,0.0005590818,536.5941084113273
19.58316,0.0005602691,535.4569795121665
19.3991,0.0005633729,532.5069771726684
19.485,0.0005620952,533.7174201096184
19.43588,0.0005632267,532.6452030771978
19.38201,0.0005642883,531.6431334833629
19.33338,0.0005652985,530.6930763127799
19.14836,0.0005682553,527.9317236460442
19.23491,0.0005671112,528.9967822889056
19.18368,0.0005682089,527.9748346074832
19.12934,0.0005692457,527.0132036131322
19.08015,0.0005701954,526.1354265572819
19.03058,0.0005710964,525.3053600057713
18.98013,0.0005721207,524.3648761528817
18.92885,0.0005729946,523.5651435458553
18.87735,0.000573914,522.7264015166035
18.83078,0.0005750883,521.6590217537029
18.64413,0.0005779173,519.1054152557814
18.72907,0.0005766991,520.2019562714768
18.67869,0.0005777043,519.2968098039083
18.62808,0.0005786067,518.4869100202262
18.57683,0.000579468,517.7162500776575
18.52885,0.0005804509,516.8395810911827
18.34357,0.0005833252,514.2928849979394
18.43141,0.0005821025,515.3731516356655
18.24454,0.0005850164,512.806136716851
18.32859,0.0005838138,513.8624677936698
18.1429,0.0005868106,511.2382087167478
18.23035,0.0005854056,512.4652036126747
18.04371,0.0005883683,509.88470996822906
18.13172,0.0005871662,510.92859227932394
17.9448,0.0005899943,508.479488700145
18.02799,0.0005887442,509.55915998832774
17.84262,0.0005915739,507.1217644997523
17.92669,0.0005904168,508.11562272618255
17.87458,0.0005912011,507.4415456940117
17.82727,0.0005920866,506.6826373033944
17.64466,0.0005950238,504.1815134117324
17.72707,0.0005936658,505.33481969148295
17.67785,0.000594631,504.5145644946194
17.62659,0.0005954802,503.79508840092416
17.57841,0.0005960769,503.29076667792356
17.53001,0.0005968462,502.6420541841432
17.34451,0.000599666,500.27848835851955
17.42612,0.0005984607,501.2860493596321
17.37981,0.0005992832,500.59804780110636
17.19342,0.0006020684,498.282254973023
17.27716,0.0006007833,499.3481010540739
17.22996,0.000601536,498.723268432812
17.0449,0.0006042506,496.48275069979246
17.12311,0.0006031754,497.36776400363806
17.07371,0.000603758,496.88782591700647
16.88974,0.00060674,494.44572634077196
16.97326,0.0006053802,495.5563462432368
16.92281,0.000606047,495.01111299948684
16.87171,0.0006067468,494.44018493381424
16.68822,0.0006095784,492.14342240473087
16.77384,0.000608245,493.22230351256485
16.72388,0.0006091344,492.5021473093622
16.53658,0.0006117928,490.36209644834
16.62212,0.0006105153,491.3881765125296
16.57265,0.0006111694,490.8622715731514
16.38861,0.0006139608,488.6305444907883
16.47468,0.0006127233,489.6174178458694
16.28963,0.0006154283,487.46539605019785
16.37077,0.0006141994,488.4407246246089
16.32153,0.0006148443,487.92840724066235
16.27413,0.0006154563,487.4432189580316
16.2239,0.0006162084,486.84828054924276
16.17364,0.0006168993,486.3030319535133
15.98938,0.0006196127,484.17341994442654
16.07783,0.0006182012,485.2789027261674
15.88709,0.00062097,483.1151263346055
15.97432,0.0006194525,484.29863468143236
15.78824,0.0006222615,482.112423796105
15.87466,0.0006209663,483.11800495453616
15.82546,0.0006216702,482.57098377885893
15.77248,0.0006224557,481.96200950525474
