v_g,i_ds,r
47.82801,0.0003880175,773.1610043361446
47.92594,0.0003878792,773.4366782235294
47.89327,0.0003898979,769.4322026356131
48.13163,0.0003869925,775.2088218763929
48.09448,0.0003890566,771.0960307574784
48.32717,0.0003863552,776.4875430691757
48.42891,0.0003862344,776.7303999850868
48.52563,0.0003861735,776.8528912522479
48.62719,0.0003860873,777.0263357535977
48.72761,0.0003859033,777.3968245412775
48.82978,0.0003857371,777.7317763834486
48.79972,0.0003876681,773.8578438617982
49.03079,0.0003848425,779.5396818178865
48.99786,0.0003869926,775.2086215602055
49.23136,0.0003841233,780.999226029767
49.33268,0.0003840188,781.211753174584
49.29812,0.0003860035,777.1950254337072
49.53103,0.0003833038,782.6689951938906
49.63037,0.0003831709,782.9404581610974
49.73406,0.00038306,783.1671278650864
49.69992,0.000385047,779.1256651785366
49.92962,0.0003822813,784.7624249472835
50.02888,0.0003822453,784.8363341550569
50.13366,0.000382059,785.2190368503293
49.8981,0.0003874999,774.1937481790318
49.93419,0.000388007,773.1819271301806
49.83276,0.0003908626,767.5331433603521
49.59755,0.0003959848,757.6048373573935
49.63235,0.0003961241,757.3384199547565
49.53194,0.0003989023,752.0638512237207
49.29815,0.0004036131,743.2860826370601
49.33219,0.0004035343,743.4312275313399
49.23313,0.0004059057,739.0879211600133
48.99796,0.0004105553,730.7176402301956
49.03205,0.0004103807,731.0285303378058
48.79972,0.0004148755,723.1084988147046
48.82634,0.0004147373,723.3494551852461
48.59513,0.0004191618,715.7140750898579
48.62629,0.0004188727,716.2080507992046
48.52752,0.0004211562,712.3247859107855
48.29593,0.0004254358,705.1592743252918
48.32924,0.000424975,705.9238778751691
48.09455,0.0004293448,698.739101999139
48.12954,0.0004286916,699.803775021484
48.027,0.0004307648,696.4357347675576
47.92563,0.0004326765,693.3586640365261
47.82585,0.0004344898,690.4650005592766
47.59341,0.0004387524,683.7569435517618
47.62635,0.0004381624,684.6776446358701
47.52724,0.0004400706,681.7087985427792
47.42842,0.0004419493,678.8108952769016
47.32421,0.0004436666,676.1834224167427
47.22826,0.0004452803,673.7329273268995
47.12653,0.0004471054,670.9827257733858
47.02419,0.000448742,668.5355950635332
46.92632,0.0004505125,665.908271135651
46.82656,0.0004521401,663.511155060124
46.72842,0.0004539426,660.8765072940939
46.49533,0.0004578317,655.2626216140123
46.52748,0.0004572483,656.0986667418993
46.29401,0.0004610255,650.7232246372489
46.32312,0.0004604777,651.497347211385
46.08947,0.0004643196,646.1066903055568
46.12222,0.0004635298,647.2075797499966
45.88894,0.0004672977,641.9890361112413
45.9247,0.0004666333,642.9031104295385
45.68754,0.0004703264,637.854902467733
45.72123,0.0004696629,638.756009895608
45.48911,0.0004732574,633.9045094698994
45.51781,0.0004725656,634.8324973294713
45.42009,0.0004740987,632.7796300643727
45.32003,0.000475653,630.7118845040397
45.0872,0.0004792918,625.9234979609498
45.12204,0.000478489,626.9736608365082
45.02148,0.0004799083,625.1194238565993
44.78734,0.0004836079,620.3372608263844
44.8185,0.0004828585,621.3000288904512
44.71953,0.0004842105,619.5652510633288
44.62189,0.0004854535,617.9788589432355
44.38798,0.0004891358,613.3266058219415
44.42209,0.0004882739,614.409248579537
44.32251,0.000489532,612.830213346625
44.08857,0.0004932385,608.225027040671
44.12535,0.0004924306,609.2229036944495
43.89079,0.000495945,604.9057859238424
43.92127,0.0004950474,606.0025767229562
43.81421,0.0004963921,604.3609477266056
43.58331,0.0004998569,600.1717691603336
43.61746,0.000498963,601.2469862494813
43.51507,0.0005001506,599.8193344164738
43.28368,0.0005036077,595.7017734240362
43.31987,0.0005027835,596.6782919487215
43.21576,0.0005040106,595.2255766049365
43.11549,0.0005053121,593.6924922241126
42.88451,0.0005087877,589.6368957032569
42.9166,0.0005077457,590.8469535044807
42.68324,0.0005113103,586.7278636866889
42.71667,0.0005104669,587.6972630350763
42.61367,0.0005116198,586.3729277092091
42.5164,0.0005129479,584.8547191634862
42.28467,0.0005163446,581.0073350239356
42.31503,0.0005154436,582.0229410162431
42.21253,0.0005165745,580.7487593754628
42.11729,0.0005178966,579.2662087374198
41.88221,0.0005211878,575.6082548363564
41.91623,0.0005202123,576.6876331067142
41.81633,0.0005213924,575.3823799503023
41.5824,0.000524716,571.73785438218
41.61742,0.000523795,572.7431533328879
41.38453,0.0005269652,569.2975551326729
41.41372,0.0005262581,570.0624845489314
41.3098,0.0005273056,568.9300473956657
41.21023,0.0005285927,567.5447277270382
40.97854,0.0005318412,564.0781496431641
41.01317,0.0005308919,565.0867907383781
40.90786,0.0005322723,563.6212893287891
40.81051,0.0005332716,562.5651169122826
40.58025,0.0005364298,559.2530467173897
40.6081,0.0005354015,560.3271563490204
40.51109,0.0005365965,559.0793081952639
40.40876,0.0005377459,557.8843092992433
40.17723,0.0005409803,554.5488440152071
40.21149,0.0005401059,555.4466263005088
40.11222,0.0005410658,554.4612134050979
40.01053,0.000542263,553.2370823751575
39.77864,0.0005454781,549.9762501922626
39.81355,0.0005443915,551.0739972979004
